level_0,index,Date,Name,Points,FormatLat,IsBBOX,LatVec,LonVec
960,1005,06/27/2019,"Carbon Monoxide / Elizabeth, New Jersey, United States / 2017","Points:(40.662435--74.214854),(40.64144--74.208365)","(40.662435,-74.214854)|(40.64144,-74.208365)",True,"40.64144, 40.662435, 40.662435, 40.64144","-74.208365, -74.208365, -74.214854, -74.214854"
964,1009,06/26/2019,"Solar Radiation / Joshua Tree National Park, California, United States / 2018","Points:(33.7411--115.8206),(33.7472--115.8201)","(33.7411,-115.8206)|(33.7472,-115.8201)",True,"33.7472, 33.7472, 33.7411, 33.7411","-115.8201, -115.8206, -115.8206, -115.8201"
967,1012,06/23/2019,"Gamma Radiation / Louisville, Kentucky, United States / 2015","Points:(38.383102--85.3838),(37.994805--85.951331)","(38.383102,-85.3838)|(37.994805,-85.951331)",True,"38.383102, 38.383102, 37.994805, 37.994805","-85.3838, -85.951331, -85.951331, -85.3838"
971,1016,06/23/2019,"Gamma Radiation / Paducah, Kentucky, United States / 2015","Points:(37.035663--88.735683),(37.10734--88.561873)","(37.035663,-88.735683)|(37.10734,-88.561873)",True,"37.10734, 37.10734, 37.035663, 37.035663","-88.561873, -88.735683, -88.735683, -88.561873"
975,1020,06/23/2019,"Gamma Radiation / Baton Rouge, Louisiana, United States / 2015","Points:(30.322153--91.007981),(30.56276--91.217127)","(30.322153,-91.007981)|(30.56276,-91.217127)",True,"30.322153, 30.56276, 30.56276, 30.322153","-91.007981, -91.007981, -91.217127, -91.217127"
979,1024,06/23/2019,"Gamma Radiation / Shreveport, Louisiana, United States / 2015","Points:(32.328808--93.676727),(32.591033--93.937997)","(32.328808,-93.676727)|(32.591033,-93.937997)",True,"32.328808, 32.591033, 32.591033, 32.328808","-93.676727, -93.676727, -93.937997, -93.937997"
983,1028,06/23/2019,"Gamma Radiation / Boston, Massachusetts, United States / 2015","Points:(42.233502--71.189235),(42.401962--70.921252)","(42.233502,-71.189235)|(42.401962,-70.921252)",True,"42.401962, 42.401962, 42.233502, 42.233502","-70.921252, -71.189235, -71.189235, -70.921252"
987,1032,06/23/2019,"Gamma Radiation / Worcester, Massachusetts, United States / 2015","Points:(42.341431--71.786007),(42.208321--71.80438)","(42.341431,-71.786007)|(42.208321,-71.80438)",True,"42.341431, 42.341431, 42.208321, 42.208321","-71.786007, -71.80438, -71.80438, -71.786007"
997,1042,06/16/2019,"Vehicle Counts / SR 101, Chandler, Maricopa County, Arizona, United States / 2015","Points:(33.302259--111.89918),(33.353085--111.889282)","(33.302259,-111.89918)|(33.353085,-111.889282)",True,"33.353085, 33.353085, 33.302259, 33.302259","-111.889282, -111.89918, -111.89918, -111.889282"
1001,1046,06/16/2019,"Vehicle Counts / SR 101, Phoenix, Maricopa County, Arizona, United States / 2016","Points:(33.467178--112.274237),(33.514005--112.260285)","(33.467178,-112.274237)|(33.514005,-112.260285)",True,"33.514005, 33.514005, 33.467178, 33.467178","-112.260285, -112.274237, -112.274237, -112.260285"
1004,1049,06/16/2019,"Vehicle Counts / WA 14, Goldendale, Washington, United States / 2015","Points:(45.693918--120.829647),(45.7018--120.799253)","(45.693918,-120.829647)|(45.7018,-120.799253)",True,"45.7018, 45.7018, 45.693918, 45.693918","-120.799253, -120.829647, -120.829647, -120.799253"
1008,1053,06/16/2019,"Gamma Radiation / Indianapolis, Indiana, United States / 2015","Points:(39.638789--85.95345),(40.037746--86.443909)","(39.638789,-85.95345)|(40.037746,-86.443909)",True,"39.638789, 40.037746, 40.037746, 39.638789","-85.95345, -85.95345, -86.443909, -86.443909"
1012,1057,06/16/2019,"Gamma Radiation / Kansas City, Kansas, United States / 2015","Points:(39.04502--94.607906),(39.201992--94.900197)","(39.04502,-94.607906)|(39.201992,-94.900197)",True,"39.04502, 39.201992, 39.201992, 39.04502","-94.607906, -94.607906, -94.900197, -94.900197"
1016,1061,06/16/2019,"Gamma Radiation / Wichita, Kansas, United States / 2015","Points:(37.554913--97.152817),(37.805332--97.542204)","(37.554913,-97.152817)|(37.805332,-97.542204)",True,"37.554913, 37.805332, 37.805332, 37.554913","-97.152817, -97.152817, -97.542204, -97.542204"
1020,1065,06/16/2019,"Gamma Radiation / Lexington, Kentucky, United States / 2015","Points:(38.21155--84.379173),(37.868057--84.524443)","(38.21155,-84.379173)|(37.868057,-84.524443)",True,"38.21155, 38.21155, 37.868057, 37.868057","-84.379173, -84.524443, -84.524443, -84.379173"
1030,1075,06/12/2019,"Annual Average Daily Vehicle Counts / Washtenaw County, Michigan, United States / 2015","Points:(42.424489--84.131074),(42.085661--83.53966)","(42.424489,-84.131074)|(42.085661,-83.53966)",True,"42.085661, 42.424489, 42.424489, 42.085661","-83.53966, -83.53966, -84.131074, -84.131074"
1034,1083,06/10/2019,"Gamma Radiation / Aurora, Illinois, United States / 2014","Points:(41.821146--88.204228),(41.681493--88.404913)","(41.821146,-88.204228)|(41.681493,-88.404913)",True,"41.821146, 41.821146, 41.681493, 41.681493","-88.204228, -88.404913, -88.404913, -88.204228"
1039,1088,06/10/2019,"Gamma Radiation / Champaign, Illinois, United States / 2014","Points:(40.16916--88.220001),(40.062358--88.33377)","(40.16916,-88.220001)|(40.062358,-88.33377)",True,"40.16916, 40.16916, 40.062358, 40.062358","-88.220001, -88.33377, -88.33377, -88.220001"
